Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Klamath,2040,0,41.71807582,0.0875
Lake,2040,0,6.437313502,0.1
Lane,2040,78.79112112,33.04024637,0.25625
Lincoln,2040,0,32.39205974,0.1796875
Linn,2040,29.42515184,26.78622187,0.1609375
Malheur,2040,0,16.83975088,0.1234375
Marion,2040,63.68434531,27.70744054,0.309375
Morrow,2040,0,12.1148643,0.2015625
Multnomah,2040,161.8364836,0,0.221875
Polk,2040,8.2125,16.71287079,0.2390625
Sherman,2040,0,3.443660036,0.0046875
Tillamook,2040,0,11.8978004,0.0640625
Umatilla,2040,0,56.8934549,0.1609375
Union,2040,0,13.29701758,0.3265625
Wallowa,2040,0,4.241152864,0.0609375
Wasco,2040,0,13.24487382,0.340625
Washington,2040,122.2090743,3.17906892,0.50625
Wheeler,2040,0,1.567728375,0.0015625
Yamhill,2040,0,32.82016488,0.403125
Baker,2045,0,12.79383408,0.128125
Benton,2045,32.8321038,0.624309676,0.2625
Clackamas,2045,95.64797512,18.64555872,0.428125
Clatsop,2045,0,37.41213069,0.0953125
Columbia,2045,0,25.38313589,0.2265625
Coos,2045,0,34.91375653,0.221875
Crook,2045,0,16.75528576,0.0609375
Curry,2045,0,25.18284434,0.1234375
Deschutes,2045,36.83241918,28.23457826,0.25625
Douglas,2045,0,49.52225854,0.2828125
Gilliam,2045,0,5.663338788,0.003125
Grant,2045,0,11.80964588,0.01875
Harney,2045,0,6.979130781,0.2640625
Hood River,2045,0,9.029473311,0.2765625
Jackson,2045,48.25793435,4.201874714,0.409375
Jefferson,2045,0,8.417052146,0.3140625
Josephine,2045,18.6148688,3.011591781,0.23125
Klamath,2045,0,41.57749936,0.0875
Lake,2045,0,6.489938959,0.1
Lane,2045,79.19619434,33.56655844,0.25625
Lincoln,2045,0,32.73697864,0.1796875
Linn,2045,29.61075346,27.30706911,0.1609375
Malheur,2045,0,16.84390542,0.1234375
Marion,2045,64.12890593,28.29828175,0.309375
Morrow,2045,0,12.33326999,0.2015625
Multnomah,2045,163.4643155,0,0.221875
Polk,2045,8.2125,17.30466102,0.2390625
Sherman,2045,0,3.431040743,0.0046875
Tillamook,2045,0,12.0193443,0.0640625
Umatilla,2045,0,58.03479959,0.1609375
Union,2045,0,13.40512439,0.3265625
Wallowa,2045,0,4.237341731,0.0609375
Wasco,2045,0,13.48365403,0.340625
Washington,2045,123.3160208,3.265449692,0.50625
Wheeler,2045,0,1.54659858,0.0015625
